Timestamp,initials_extractor,study_id,ocp
28/09/2022 10:08,km,s_001,"Hexachlorocyclohexane (HCH), alpha-Hexachlorocyclohexane (alpha-HCH), beta-Hexachlorocyclohexane (beta-HCH), gamma-Hexachlorocyclohexane (gamma-HCH), Dichlorodiphenyltrichloroethane (DDT), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), p,p-Dichlorodiphenyldichloroethylene (p,p-DDE), p,p-Dichlorodiphenyldichloroethane (p,p-DDD), Aldrin, Dieldrin, Endrin"
28/09/2022 10:25,km,s_002,"Dichlorodiphenyltrichloroethane (DDT), Dichlorodiphenyldichloroethylene (DDE)"
28/09/2022 11:22,km,s_003,"p,p-Dichlorodiphenyldichloroethylene (p,p-DDE)"
28/09/2022 11:37,km,s_004,Endosulfan
28/09/2022 12:16,km,s_005,"Dichlorodiphenyltrichloroethane (DDT), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), o,p-Dichlorodiphenyltrichloroethane (o,p-DDT), p,p-Dichlorodiphenyldichloroethylene (p,p-DDE), o,p-Dichlorodiphenyldichloroethylene (o,p-DDE), p,p-Dichlorodiphenyldichloroethane (p,p-DDD), o,p-Dichlorodiphenyldichloroethane (o,p-DDD), Aldrin, Dieldrin, Endrin, Endosulfan I, Endosulfan II, Endosulfan Sulfate, Lindane, Heptachlor, Heptachlor epoxide, alpha-Benzene hexachloride (alpha-BHC), beta-Benzene hexachloride (beta-BHC), delta-Benzene hexachloride (delta-BHC), alpha-Chlordane, y-Chlordane, cis-Chlordane, trans-Chlordane, Oxychlordane, Methoxychlor, Mirex, Endrin Aldehyde, Hexachlorobenzene, trans-Nonachlor, cis-Nonachlor, chlorophenol, Pentachlorophenol"
28/09/2022 12:22,km,s_006,Dichlorodiphenyltrichloroethane (DDT)
28/09/2022 13:43,km,s_007,"alpha-Hexachlorocyclohexane (alpha-HCH), beta-Hexachlorocyclohexane (beta-HCH), gamma-Hexachlorocyclohexane (gamma-HCH), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), o,p-Dichlorodiphenyltrichloroethane (o,p-DDT), o,p-Dichlorodiphenyldichloroethylene (o,p-DDE), Dieldrin, Heptachlor epoxide, cis-Chlordane, trans-Chlordane, Oxychlordane, Mirex, Hexachlorobenzene, cis-Heptachlorine"
28/09/2022 13:52,km,s_008,"p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), p,p-Dichlorodiphenyldichloroethylene (p,p-DDE)"
28/09/2022 14:03,km,s_009,"gamma-Hexachlorocyclohexane (gamma-HCH), Pentachlorophenol"
28/09/2022 14:11,km,s_010,"beta-Hexachlorocyclohexane (beta-HCH), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), Hexachlorobenzene"
