Timestamp,initials_extractor,study_id,species
3/01/2023 15:07,km,s_004,"Acris crepitans, Ambystoma barbourin, Ambystoma jeffersonianum, Ambystoma macrodactylum, Ambystoma maculatum, Ambystoma mexicanum, Anaxyrus americanus, Anaxyrus terrestris, Bufo americanus, Bufo bufo, Discoglossus galganoi, Duttaphrynus melanostictus, Epidalea calamita, Eurycea wilderae, Gastrophryne olivacea, Hyla chrysoscelis, Hyla citropa, Hyla versicolor, Hypsiboas faber, Hypsiboas pulchellus, Limnodynastes peronii, Limnodynastes tasmaniensis, Lissotriton boscai, Lissotriton helveticus, Lissotriton vulgaris, Lithobates catesbeianus, Lithobates sylvaticus, Litoria ewingii, Litoria freycineti, Notophthalmus viridescens, Osteopilus septentrionalis, Pelobates cultripes, Pelodytes ibericus, Pelophylax nigromaculata, Pelophylax perezi, Physalaemus albonotatus, Pseudocris regilla, Rana aurora, Rana berlandieri, Rana blairi, Rana cascadae, Rana catesbeiana, Rana clamitans, Rana dalmatina, Rana esculenta, Rana luteiventris, Rana pipiens, Rana pretiosa, Rana sphenocephala, Rana spp. , Rana temporaria, Rhinela spinulosa, Rhinella arenarum, Rhinella fernandezae, Taricha granulosa, Triturus helveticus, Triturus vulgaris, Xenopus laevis, Xenopus tropicalis,"
3/01/2023 15:38,km,s_005,"Acanthephyra haeckelii ,Acanthephyra purpurea, Acanthopagrus butcheri, Acropora acuminata, Acropora cer’icornis, Acropora palmata, Aldrichetta forsteri, Alutera scripta, Ampullaria sp., Anableps dowi, Anadara granosa ,Anchoa sp., Anodontites trapesialis, Anomalocardia brasiliana, Anoplocarpus inermis, Anoplpoma fimbria, Argyrosomus hololepidotus, Arius heudeloti, Arius sp. , Arramphus sp., Arripis trutta, Astyanax fasciatus, Atherinidae sp. ,Australuzza sphyraena, Austrocochlea obtusa, Austro’enus stutchburyi ,Bidyanus bidyanus, Blennius sp., Brachidontes recur’us, Brachydeuterus auritus, Bre’oortia patronus, Briareum asbestinum, Callinectes sapidus, Callinectes sp., Cancer anthonyi, Canthidermis maculatus, Capitella capitata, Caranx carangus, Caranx hippos, Caranx lugubris, Caranx sanegallus, Caranx sp., Caranx speciosus, Cardisoma sp., Cellana exarata, Centropomus sp., Ceratoscopelus warmingi, Chauliodus danae, Chelidonichthys kumu, Chloroscrumbus chrysurus, Chrysophrys auratus, Cichlasoma sp., Citharichthys sordidus, Colpophyllia amaranthus, Colpophyllia natans, Corbula sp., Coryphaena hippurus, Crassostrea corteziensis, Crassostrea gasar, Crassostrea gigas, Crassostrea margaritacea, Crassostrea rhizophorae, Crassostrea ’irginica, Cynoglossus senegalensis, Cynoscion nebulosus, Cynoscion reticulatus, Cyprinus carpio, Cypselurus cyanopterus, Cypselurus exsiliens, Cyttus australis, Dasyatis margarita, Diadema sp. ,Diploria cli’osa, Diploria strigosa, Diploria strigosa, Discorsio clatarata, Dormitator latifrons, Drepane africana, Dymbium macrocanus, Elops lacerta, Embiotica jacksoni, Emerita sp., Engraulis mordax, Epinephelus morio, Epinephelus sp., Epinephelus striatus, Epinephelus tau’ina, Ethmalosa fimbriata, Exocoetus ’olitans, Fundulus similis, Fungia fungites, Galeoides decadactylus, Gastropoda sp., Genyonemus lineatus, Gnathanodus speciosus, Gobiomorphus maculatus, Gobiomorphus sagittula, Gorgonia flabellum, Graspus graspus, Haemulon plumeri, Haliclona rubens, Halimeda sp., Haliotis cracherodii, Haliotis sp., Heliograpsus haswellianus, Heterodontus portusjacksoni, Hinnites giganteus, Holacanthus ciliaris, Hygophum hygomi, Hyporhamphus melanochir, Ilisha africana, Kyphosus sectatrix, Lagodon rhombodies, Leiognathus equulus, Leiognathus sp., Leiognathus splendens, Lepidotrigla argus, Lethrinus nebulosus, Lile stolifera, Lollingnucula bre’is, Lucina pectinata, Lutjanus analis, Lutjanus griseus, Lutjanus mahogany, Lutjanus spp., Lycodontis miliaris, Lycodontis moringa, Maccullochella peeli, Macoma constricta, Macoma constricta, Macoma constricta, Macomona liliana, Macquaria ambigua, Macrobrachium sp., Mactra fragilis, Marginella sp., Melichthys niger, Meoma ’entricosa, Metapenaeus mutatus, Metapenaeus sp., Micropogon undulatus, Microstomus pacificus, Millepora alcicornia, Montastrea annularis, Mugil cephalus, Mugil sp., Mycteroperca bonaci, Myliobatis australis, Mytella falcata, Mytella strigata, Mytilus californianus, Mytilus corscus, Mytilus edulis, Mytilus sp., Mytilus ’iridis, Nassarius sp. ,Nebris zestus ,Nelusetta ayraudi, Nemadactylus macropterus, Nematolosa come, Nematolosa erebri ,Nemipterus peronii ,Nemipterus sp., Neoarius australis ,Neoplatycephalus fuscus ,Neosebastes thetidis, Nezumia stelgidolepis, Ocyurus chrysurus, Pagrus auratus, Pagurus sp., Penaeus aztecus ,Penaeus latisulcatus, Penaeus merguiensis, Penaeus monodon ,Penaeus notialis, Penaeus semisulcatus, Penaeus setiferus, Penaeus stylirostris, Penaeus ’annamei ,Panulirus argus, Panulirus echinatus, Panulirus interruptus, Paralabrax clathratus, Paralichthys sp. ,Parastromateus niger, Perca flu’iatilis, Perna perna, Perna ’iridis, Petroscirtes anolius, Pitar fulminata, Plagiogeneion macrloepsis, Platycephalus fuscus, Platycephalus longispinus, Platycephalus marmoratus, Plectroma sp. ,Plectropoma maculatum, Pleuronectiform sp., Podophthalmus ’igil ,Poecilia sphenops, Polychaetes ,Pomacanthus arcuatus, Pomadasys jubelini ,Porites astreoides, Porites porites, Portunus sanguinolentus, Prognichthys rondeletii ,Protothaca pectorina ,Psettodes belcheri, Psettodes erumei, Pseudocaranx dentex, Pseudopeneus prayensis, Pseudopterogorgia acerosa, Pseudorhombus jenynsii, Pseudotolithus elongatus ,Pseudotolithus moori ,Pseudotolythus senegalensis ,Pteria colymbus,Pterygotrigla plyommata, Raja miraletus, Rangia cuneata, Rastrelliger kanagurta, Rastrelliger neglectus, Rhabdosargus sarba, Rhinobatus chinobatus, Sarde chilinesis, Saurida elongata, Saurida sp., Scarus fasciatus ,Scorpaena guttata, Sebastes paucispinus, Sebastolobus alascanus, Sebastolobus alti’elis, Selar mate ,Selaroides leptolepis, Selenotoca multifasciata, Semele proficua, Seriphus politus ,Sesarma erythrodactyla ,Siderastrea radians ,Siderastrea siderea Sillaginodes punctatus, Sillago ciliata, Sillago schomburgkii ,Sillago sp. ,Sparisoma ’iride ,Spheciospongia ’esparia, Sphyraena barracuda, Sphyraena piscatorium, Stolephorus sp. ,Stomias boa ,Stromateus fiatola, Strombus galeatus, Strombus gigas, Synodontidae sp., Synodus similis ,Systellapsis debilis, Systellapsis sp. ,Tachysurus sp., Tandanus tandanus ,Tapis phillipinarium, Thalamita crenata, Thalassia testudinum, Thenus sp., Tinca tinca, Trachinotus russellii ,Trachycardium muricatum, Trichiurus lepturus, Tridacna crocea, Trudis bassensis bassensis ,Tympanotamus fuscatus ,Uca sp. ,Urolophus sp., Vomer setapinnis"
4/01/2023 10:53,km,s_009,"Eisenia andrei, Earthworms unspecified, Folsomia candida, Onychiurus folsomi, Lumbricus terrestris ,Enchytraeus albidus, Folsomia fimetaria, Aporrectodea caliginosa , Porcellio scaber , Porcellionides pruinosus, Cognettia sphagnetorum , Aporrectodea tuberculata , Platynothrus peltifer , Lumbricus rubellus, Hypoaspis aculeifer, Philonthus cognatus , Isotoma viridis , Allolobophora chlorotica, Enchytraeus sp, Brachydesmus superus , Enchytraeus crypticus , Lithobius mutabilis , Caenorhabditis elegans , Plectus acuminatus, Helix aspersa , Pontoscolex corethrurus , Trigoniulus corallinus"
6/01/2023 11:11,km,s_090,"Procambarus clarkia, Aedes aegypti, Chironomus dilutes, Culex quinquefasciatus, Carassius auratus, Gambusia affinis, Ictalurus punctatus, Lepomis cyanellus, Lepomis microlophus, Oryzias latipes, Poecilia reticulata, Ptychocheilus Lucius"
6/01/2023 15:52,km,s_030,"Cyprinus carpio , Anaxyrus Terrestris, Hyla chrysoscelis, Acris crepitans, Rana sphenocephala, Gastrophryne olivacea,Rana Esculenta, Ambystoma barbouri, Rana clamitans, Rana catesbiana, Gambusia affinis, Oreochromis niloticus, Hypsiboas pulchellus, Palaemon serratus, Lithobates sylvatica, Hyla chrysoscelis, Rana dalmatina, Oncorhynchus kisutch, Oryzias latipes, Danio rerio, Dicentrarchus labrax, Pimephales promelas, Rana temporaria, Limnodynastes peronii, Notophthalmus viridescens, Hyla versicolor, Rana blairi, Dicentrarchus labrax, Sciaenops ocellatus, Oncorynchus mykiss,"
10/01/2023 12:09,km,s_041,rodents
16/01/2023 11:29,km,s_101,"Caretta caretta, Chelonia mydas, Demorchelys coriacea, Lepidochelys kempii, Lepidochelys olivacea, Eretmochelys imbricata"
16/01/2023 11:37,km,s_104,"Chiloscyllium arabicum, Mustelus mosis, Amblyraja hyperborean, Rhizoprionodon terraenovae, Hypanus sabinus, Gymnura australis, Rhinoptera neglecta, Figaro boardmani, Chiloscyllium plagiosum, Triakis scyllium, Dipturus laevis, Cetorhinus maximus, Mobula thurstoni, Beringraja binoculata, Alopias superciliosus, Deania calcea, Galeus melastomus, Carcharhinus acronotus, Maculabatis astra, Carcharhinus melanopterus, Carcharhinus limbatus, Prionace glauca, Acroteriobatus blochii, Sphyrna tiburo, Rhynchobatus australiae, Rhizoprionodon lalandii, Notorynchus cepedianus, Raja miraletus, Mustelus henlei, Maculabatis toshi, Carcharhinus leucas, Aetomylaeus bovinus, Apristurus sp., Tetronarce tremens, Scyliorhinus torazame, Myliobatis aquila, Rhinobatos rhinobatos, Mustelus mustelus, Dasyatis Pastinaca, Alopias vulpinus, Carcharhinus brachyurus, Pseudocarcharias kamoharai, Carcharhinus obscurus, Mustelus canis, Hemitrygon fluviorum, Mobula birostris, Sphyrna mokarran, Tetronarce nobiliana, Somniosus microcephalus, Chiloscyllium griseum, Centrophorus granulosus, Squatina japonica, Myliobatis tobijei, Dalatias licha, Neotrygon kuhlii, Negaprion brevirostris, Triakis semifasciata, Acroteriobatus annulatus, Leucoraja erinacea, Beringraja rhina, Squalus blainvillei, Centroselachus crepidater, Hypanus longus, Megachasma pelagios, Rhizoprionodon acutus, Mustelus norrisi, Carcharhinus signatus, Ginglymostoma cirratum, Carcharhinus longimanus, Squatina californica, Rhinoptera steindachneri, Rhizoprionodon longurio, Pteroplatytrygon violacea, Alopias pelagicus, Carcharhinus amboinensis, Proscymnodon plunketi, Lamna nasus, Mobula munkiana, Rostroraja velezi, Hemitrygon akajei, Manta alfredi, Himantura uarnak, Raja radula, Centroscymnus owstoni, Bathytoshia centroura, Rajella fyllae, Urobatis helleri, Lamna ditropis, Carcharhinus plumbeus, Carcharias taurus, Leucoraja circularis, Sphyrna lewini, Leucoraja fullonica, Heptranchias perlo, Isurus oxyrinchus, Mobula kuhlii, Zapteryx brevirostris, Squalus megalops, Squalus mitsukurii, Carcharhinus falciformis, Scyliorhinus canicular, Carcharhinus porosus, Mustelus higmani, Mustelus canis, Sphyrna zygaena, Carcharhinus leiodon, Zapteryx xyster, Centrophorus zeehaani, Etmopterus baxteri, Mobula japonica, Carcharhinus brevipinna, Gymnura altavela, Squalus acanthias, Bathyraja spinicauda, Mustelus griseus, Aetobatus ocellatus, Aetobatus narinari, Torpedo marmorata, Himantura sp., Raja asterias, Mustelus manazo, Platyrhinoidis triseriata, Raja clavate, Amblyraja radiata, Galeocerdo cuvier, Galeorhinus galeus, Etmopterus spinax, Rhincodon typus, Carcharhinus sp., Hypanus dipterurus, Carcharodon carcharias, Carcharhinus dussumieri, Nasolamia velox, Leucoraja ocellata, Urobatis jamaicensis"
16/01/2023 11:49,km,s_095,"Lake trout, Burbot, Ringed seal, Ivory gull, Beluga, Polar bear, Common murre, Thick-billed murre, Black guillemot, Glaucous gull, Herring gull, Puffin, Kittiwake, Common guillemot Arctic cod , Kittiwake, Fulmar"
16/01/2023 11:53,km,s_096,"C. nivalis, Empetrum hermaphroditum, Vaccinium uliginosum, Lagupus mutus, Ovis sp., Lepus arcticus, R. tarandus, Ovibos moschatus"
