Timestamp,initials_extractor,study_id,subject,subject_specific,subject_specific_exposed
28/09/2022 10:09,km,s_001,Environment,water,NA
28/09/2022 10:26,km,s_002,Human,female,NA
28/09/2022 11:22,km,s_003,Human,NA,NA
28/09/2022 11:38,km,s_004,Non-human animal,amphibian,NA
28/09/2022 12:17,km,s_005,Non-human animal,marine organisms,NA
28/09/2022 12:23,km,s_006,Environment,water,NA
28/09/2022 13:43,km,s_007,Human,male,NA
28/09/2022 13:54,km,s_008,Human,NA,NA
28/09/2022 14:04,km,s_009,Non-human animal,soil invertebrates,NA
28/09/2022 14:12,km,s_010,Human,NA,NA
28/09/2022 14:28,km,s_011,Human,NA,NA
28/09/2022 14:38,km,s_012,Human,female,NA
28/09/2022 14:56,km,s_013,Human,NA,occupational exposure
28/09/2022 15:03,km,s_014,Non-human animal,fish,NA
28/09/2022 15:08,km,s_015,Human,NA,NA
17/11/2022 12:03,km,s_016,Human,female,NA
17/11/2022 14:21,km,s_017,Human,neonates,prenatal exposure
17/11/2022 14:59,km,s_018,Human,NA,occupational exposure
17/11/2022 15:19,km,s_019,Human,female,NA
17/11/2022 15:45,km,s_020,Human,male,NA
17/11/2022 16:22,km,s_021,Human,NA,NA
17/11/2022 16:47,km,s_022,Non-human animal,fish,NA
18/11/2022 9:29,km,s_023,Human,children,prenatal expsosure
18/11/2022 10:49,km,s_024,Human,male,NA
25/11/2022 21:59,km,s_025,Human,NA,NA
25/11/2022 23:26,km,s_026,Human,NA,NA
28/11/2022 18:17,km,s_027,Human,male,occupational exposure
28/11/2022 18:30,km,s_028,Human,female,NA
28/11/2022 18:50,km,s_029,Human,NA,NA
28/11/2022 19:33,km,s_030,Non-human animal,aquatic vertebrates,NA
28/11/2022 20:50,km,s_031,Human,NA,NA
28/11/2022 21:36,km,s_032,Human,NA,NA
28/11/2022 22:24,km,s_033,Human,NA,NA
28/11/2022 22:39,km,s_034,Human,children,Maternal exposure
07/12/2022 0:41,km,s_035,Human,NA,NA
07/12/2022 1:00,km,s_036,Human,NA,NA
07/12/2022 1:25,km,s_037,Human,NA,NA
07/12/2022 1:50,km,s_038,Human,male,NA
08/12/2022 2:04,km,s_039,Human,male,"prenatal exposure, postnatal exposure"
08/12/2022 2:30,km,s_040,Human,NA,NA
08/12/2022 3:02,km,s_041,Non-human animal,rodent,perinatal exposure
08/12/2022 21:06,km,s_042,Human,children,Maternal exposure
08/12/2022 21:36,km,s_043,Human,male,NA
12/12/2022 6:10,km,s_044,Non-human animal,NA,NA
15/12/2022 0:31,km,s_045,Human,nurses,NA
15/12/2022 1:01,km,s_046,Human,NA,NA
15/12/2022 1:21,km,s_047,Human,children,maternal exposure
16/12/2022 0:23,km,s_048,"Human, Environment, Non-human animal","air, water, sediment",NA
16/12/2022 0:49,km,s_049,Human,NA,occupational exposure
16/12/2022 1:14,km,s_050,Human,children,maternal exposure
16/12/2022 1:38,km,s_051,Human,NA,occupational exposure
16/12/2022 3:13,km,s_052,Human,NA,NA
16/12/2022 3:36,km,s_053,Human,female,NA
16/12/2022 22:38,km,s_054,Human,NA,NA
16/12/2022 23:21,km,s_055,Human,NA,NA
17/12/2022 0:07,km,s_056,Human,NA,NA
17/12/2022 0:27,km,s_057,Environment,NA,occupational exposure
17/12/2022 0:48,km,s_058,Human,NA,occupational exposure
17/12/2022 0:56,km,s_059,Human,NA,NA
20/12/2022 0:00,km,s_060,Human,NA,NA
20/12/2022 0:20,km,s_061,Human,children,"paternal
 exposure"
20/12/2022 0:52,km,s_062,Human,children,Residential exposure
20/12/2022 1:19,km,s_063,Human,children,NA
20/12/2022 1:33,km,s_064,Human,"children, young adult",parental exposure
20/12/2022 1:51,km,s_065,Human,NA,NA
21/12/2022 2:34,km,s_066,Human,"children, adolescents",Household exposure
