Timestamp,initials_extractor,study_id,author_year,paper_title,publication_year,Journal,Journal_Citation_Report_Category,Journal_Category_Allocated_Broad,DOI,total_included_studies,CEESAT2_1.1,CEESAT2_2.1,protocol_database,CEESAT2_3.1,CEESAT2_3.2,CEESAT2_4.1,CEESAT2_4.2,CEESAT2_4.3,database_search,CEESAT2_5.1,CEESAT2_5.2,rob_assessment_method,CEESAT2_6.1,CEESAT2_6.2,CEESAT2_6.3,software_analysis,CEESAT2_7.1,effect_size,CEESAT2_7.2,CEESAT2_7.3,heterogeneity_assessment_method,sensitivity_analysis_method,bias_assessment_type,bias_assessment_method,bias_assessment_visualization,visualization_method,reporting_standards_type,reporting_guideline_provided,literature_screening_flowchart,CEESAT2_8.1,policy_title,policy_year,policy_author,policy_category,policy_source,link
9/28/2022 10:01:29,km,s_001,vasseghian_2021,"The concentration of persistent organic pollutants in water resources: A global systematic review, meta-analysis and probabilistic risk assessment",2021,Science of The Total Environment,ENVIRONMENTAL SCIENCES - SCIE,Environmental Science,10.1016/j.scitotenv.2021.149000,311,Green,Red,NA,Amber,Amber,Amber,Red,Red,"Scopus, PubMed, Embase",Red,Red,Not reported,Red,Red,Red,Excel,Amber,Z-score,Red,Red,Not reported,Not reported,Not Reported,Not reported,Not reported,Not reported,PRISMA,No,Yes,Red,NA,NA,NA,NA,NA,NA
9/28/2022 10:23:01,km,s_002,ingber_2013,DDT/DDE and breast cancer: A meta-analysis,2013,Regulatory Toxicology and Pharmacology,"PHARMACOLOGY & PHARMACY - SCIE/ MEDICINE, LEGAL - SCIE/ TOXICOLOGY - SCIE",Toxicology,10.1016/j.yrtph.2013.08.021,46,Amber,Red,NA,Amber,Amber,Amber,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Red,Red,Gold,comprehensive meta-analysis software,Amber,Odds ratio,Amber,Amber,I squared,Not reported,Publication bias,"Egger's regression, Begg's test",Not reported,Forest plot,Not reported,NA,Yes,Amber,"Toxicological profile for DDT, DDE, and DDD : draft for public comment",2019,Centers for Disease Control and Prevention (CDC),NA,plumx,NA
9/28/2022 10:23:01,km,s_002,ingber_2013,DDT/DDE and breast cancer: A meta-analysis,2013,Regulatory Toxicology and Pharmacology,"PHARMACOLOGY & PHARMACY - SCIE/ MEDICINE, LEGAL - SCIE/ TOXICOLOGY - SCIE",Toxicology,10.1016/j.yrtph.2013.08.021,46,Amber,Red,NA,Amber,Amber,Amber,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Red,Red,Gold,comprehensive meta-analysis software,Amber,Odds ratio,Amber,Amber,I squared,Not reported,Publication bias,"Egger's regression, Begg's test",Not reported,Forest plot,Not reported,NA,Yes,Amber,"Toxicological profile for 1,1-Dichloroethene : draft for public comment",2019,Centers for Disease Control and Prevention (CDC),NA,plumx,NA
9/28/2022 10:23:01,km,s_002,ingber_2013,DDT/DDE and breast cancer: A meta-analysis,2013,Regulatory Toxicology and Pharmacology,"PHARMACOLOGY & PHARMACY - SCIE/ MEDICINE, LEGAL - SCIE/ TOXICOLOGY - SCIE",Toxicology,10.1016/j.yrtph.2013.08.021,46,Amber,Red,NA,Amber,Amber,Amber,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Red,Red,Gold,comprehensive meta-analysis software,Amber,Odds ratio,Amber,Amber,I squared,Not reported,Publication bias,"Egger's regression, Begg's test",Not reported,Forest plot,Not reported,NA,Yes,Amber,"Toxicological profile for DDT, DDE, and DDD: draft for public comment.",2019,Government Publishing Office (GPO),NA,plumx,NA
9/28/2022 10:23:01,km,s_002,ingber_2013,DDT/DDE and breast cancer: A meta-analysis,2013,Regulatory Toxicology and Pharmacology,"PHARMACOLOGY & PHARMACY - SCIE/ MEDICINE, LEGAL - SCIE/ TOXICOLOGY - SCIE",Toxicology,10.1016/j.yrtph.2013.08.021,46,Amber,Red,NA,Amber,Amber,Amber,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Red,Red,Gold,comprehensive meta-analysis software,Amber,Odds ratio,Amber,Amber,I squared,Not reported,Publication bias,"Egger's regression, Begg's test",Not reported,Forest plot,Not reported,NA,Yes,Amber,"DDT, Lindane, and 2,4-D",2019,IARC,NA,plumx,NA
9/28/2022 11:14:40,km,s_003,park_2016,Body burden of persistent organic pollutants on hypertension: a meta-analysis,2016,Environmental Science and Pollution Research,ENVIRONMENTAL SCIENCES - SCIE,Environmental Science,10.1007/s11356-016-6568-6,11,Amber,Red,NA,Amber,Amber,Amber,Red,Amber,"PubMed, Embase, Korean Medical Database",Green,Amber,Newcastle Ottawa scale,Amber,Green,Gold,Stata,Amber,Odds ratio,Amber,Amber,"I squared, Q statistic",Not reported,Publication bias,"Egger's regression, Begg's test",Not reported,Forest plot,Not reported,NA,Yes,Amber,"Toxicological profile for DDT, DDE, and DDD",2022,Centers for Disease Control and Prevention (CDC),NA,Altmetric,NA
9/28/2022 11:34:42,km,s_004,sievers_2019,Contaminant-induced behavioural changes in amphibians: A meta-analysis,2019,Science of The Total Environment,ENVIRONMENTAL SCIENCES - SCIE,Environmental Science,10.1016/j.scitotenv.2019.07.376,116,Green,Red,NA,Green,Amber,Amber,Red,Amber,Web of Science,Red,Red,Not reported,Amber,Red,Red,R,Amber,Log response ratio,Red,Red,Not reported,Not reported,Not reported,Not reported,Not reported,Forest plot,PRISMA,No,Yes,Red,NA,NA,NA,NA,NA,NA
9/28/2022 11:47:44,km,s_005,araujo_1999,Organochlorine compounds in subtropical and tropical marine organisms: a meta-analysis,1999,Toxicology and Industrial Health,"TOXICOLOGY - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",Toxicology,10.1191/074823399678846709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/28/2022 12:22:22,km,s_006,davis_1993,Contamination of Coastal versus Open Ocean Surface Waters,1993,Marine Pollution Bulletin,MARINE & FRESHWATER BIOLOGY - SCIE/ ENVIRONMENTAL SCIENCES - SCIE,Marine Biology,10.1016/0025-326X(93)90121-Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/28/2022 13:39:31,km,s_007,brauner_2021,Endocrine Disrupting Chemicals and Risk of Testicular Cancer: A Systematic Review and Meta-analysis,2021,The Journal of Clinical Endocrinology & Metabolism,no category found,Medicine,10.1210/clinem/dgab523,10,Amber,Gold,prospero,Red,Amber,Amber,Red,Amber,"PubMed, Embase",Amber,Amber,custom scale,Red,Amber,Red,R,Amber,Odds ratio,Gold,Amber,I squared,Not reported,Publication bias,Begg's test,Funnel plot,Forest plot,PRISMA,No,Yes,Red,NA,NA,NA,NA,NA,NA
